# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
0.0304746951,98.6666666667,0.0010000000,0.9999421234,0.0003768377,0.0000031744,0.0017816979,0.0000000000
0.0196834663,98.6666666667,0.0010000000,0.9999626178,0.0002116539,0.0000020504,0.0014319082,0.0000000000
0.0181726597,98.8333333333,0.0010000000,0.9999654871,0.0001676368,0.0000018930,0.0013758581,0.0000000000
0.0128519626,98.8333333333,0.0010000000,0.9999755920,0.0001386153,0.0000013387,0.0011570420,0.0000000000
0.0905902353,97.7500000000,0.0010000000,0.9998279540,0.0009274810,0.0000094365,0.0030718859,0.0000000000
0.1035119064,97.6666666667,0.0010000000,0.9998034135,0.0009715919,0.0000107825,0.0032836702,0.0000000000
0.2150223305,97.7500000000,0.0010000000,0.9995916366,0.0014678808,0.0000223982,0.0047326694,0.0000000000
0.2107256938,97.5833333333,0.0010000000,0.9995997966,0.0014660333,0.0000219506,0.0046851460,0.0000000000
0.1444887573,97.6666666667,0.0010000000,0.9997255916,0.0011908459,0.0000150509,0.0038795505,0.0000000000
0.0142897673,98.5000000000,0.0010000000,0.9999728613,0.0002024811,0.0000014885,0.0012200481,0.0000000000
0.0767279663,98.0000000000,0.0010000000,0.9998542807,0.0007983514,0.0000079925,0.0028271004,0.0000000000
1.6636870353,92.1666666667,0.0010000000,0.9968403794,0.0036687977,0.0001733007,0.0131643736,0.0000000000
0.0137509588,98.6666666667,0.0010000000,0.9999738846,0.0001583274,0.0000014324,0.0011968256,0.0000000000
0.0130806784,98.8333333333,0.0010000000,0.9999751576,0.0001122779,0.0000013626,0.0011672920,0.0000000000
0.0130739166,99.0000000000,0.0010000000,0.9999751704,0.0001173461,0.0000013619,0.0011669903,0.0000000000
0.0126380366,98.9166666667,0.0010000000,0.9999759983,0.0001332329,0.0000013165,0.0011473718,0.0000000000
0.0584364670,97.7500000000,0.0010000000,0.9998890194,0.0007390026,0.0000060871,0.0024672114,0.0000000000
0.0363007687,97.9166666667,0.0010000000,0.9999310588,0.0005350015,0.0000037813,0.0019445642,0.0000000000
0.0306064713,98.1666666667,0.0010000000,0.9999418732,0.0004893208,0.0000031882,0.0017855459,0.0000000000
0.0357446226,97.9166666667,0.0010000000,0.9999321150,0.0005321831,0.0000037234,0.0019296109,0.0000000000
0.0986949098,98.1666666667,0.0010000000,0.9998125618,0.0009083550,0.0000102807,0.0032063562,0.0000000000
0.1589576269,98.0833333333,0.0010000000,0.9996981128,0.0011424460,0.0000165581,0.0040691628,0.0000000000
0.0304013676,98.2500000000,0.0010000000,0.9999422627,0.0004823207,0.0000031668,0.0017795531,0.0000000000
0.0072851401,99.0833333333,0.0010000000,0.9999861643,0.0000844205,0.0000007589,0.0008711307,0.0000000000
0.0071415861,99.0833333333,0.0010000000,0.9999864369,0.0000732681,0.0000007439,0.0008625052,0.0000000000
0.0708316640,97.7500000000,0.0010000000,0.9998654788,0.0008085651,0.0000073783,0.0027163023,0.0000000000
0.0681421371,97.9166666667,0.0010000000,0.9998705867,0.0007941249,0.0000070981,0.0026642333,0.0000000000
0.2385615820,97.2500000000,0.0010000000,0.9995469316,0.0013159837,0.0000248502,0.0049849940,0.0000000000
0.0162934098,98.5000000000,0.0010000000,0.9999690561,0.0002236485,0.0000016972,0.0013027779,0.0000000000
0.0138280647,98.9166666667,0.0010000000,0.9999737382,0.0001558589,0.0000014404,0.0012001764,0.0000000000
0.0131224036,99.0000000000,0.0010000000,0.9999750784,0.0001245758,0.0000013669,0.0011691523,0.0000000000
0.0128551397,99.0000000000,0.0010000000,0.9999755859,0.0001066202,0.0000013391,0.0011571850,0.0000000000
0.0127406238,99.0833333333,0.0010000000,0.9999758034,0.0000959494,0.0000013271,0.0011520192,0.0000000000
0.0126857860,99.0833333333,0.0010000000,0.9999759076,0.0000892463,0.0000013214,0.0011495373,0.0000000000
0.0219207842,98.5000000000,0.0010000000,0.9999583688,0.0003816367,0.0000022834,0.0015110973,0.0000000000
0.0079610629,99.0000000000,0.0010000000,0.9999848806,0.0000845811,0.0000008293,0.0009106467,0.0000000000
0.0078698634,99.0833333333,0.0010000000,0.9999850538,0.0000719666,0.0000008198,0.0009054156,0.0000000000
0.0078415676,99.0833333333,0.0010000000,0.9999851075,0.0000664191,0.0000008168,0.0009037865,0.0000000000
0.0123119096,98.5833333333,0.0010000000,0.9999766176,0.0002572575,0.0000012825,0.0011324710,0.0000000000
0.0109088912,98.8333333333,0.0010000000,0.9999792822,0.0002134199,0.0000011363,0.0010659938,0.0000000000
0.0636112637,97.7500000000,0.0010000000,0.9998791915,0.0007960792,0.0000066262,0.0025741354,0.0000000000
0.0198167911,98.5000000000,0.0010000000,0.9999623646,0.0003752795,0.0000020642,0.0014367495,0.0000000000
0.0296504387,98.5000000000,0.0010000000,0.9999436888,0.0004835842,0.0000030886,0.0017574377,0.0000000000
0.0564484648,98.2500000000,0.0010000000,0.9998927949,0.0006901109,0.0000058800,0.0024248811,0.0000000000
