# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
0.0096106924,98.9166666667,0.0010000000,0.9999817477,0.0001156200,0.0000010011,0.0010005567,0.0000000000
0.0101117947,98.7500000000,0.0010000000,0.9999807960,0.0001642288,0.0000010533,0.0010263099,0.0000000000
0.0717252544,97.7500000000,0.0010000000,0.9998637817,0.0008448659,0.0000074714,0.0027333826,0.0000000000
3.3537417665,91.2500000000,0.0010000000,0.9936306822,0.0050868493,0.0003493481,0.0186908561,0.0000000000
0.0115693109,98.7500000000,0.0010000000,0.9999780279,0.0001794988,0.0000012051,0.0010977871,0.0000000000
0.0106272533,98.8333333333,0.0010000000,0.9999798171,0.0001389980,0.0000011070,0.0010521433,0.0000000000
0.0103679005,98.8333333333,0.0010000000,0.9999803096,0.0001269494,0.0000010800,0.0010392255,0.0000000000
0.0101952589,98.8333333333,0.0010000000,0.9999806375,0.0001210448,0.0000010620,0.0010305368,0.0000000000
0.0100507683,98.8333333333,0.0010000000,0.9999809119,0.0001168032,0.0000010470,0.0010232082,0.0000000000
0.2300311643,97.3333333333,0.0010000000,0.9995631323,0.0015469133,0.0000239616,0.0048950567,0.0000000000
0.0099271826,98.8333333333,0.0010000000,0.9999811466,0.0001176403,0.0000010341,0.0010168980,0.0000000000
0.0097739904,98.9166666667,0.0010000000,0.9999814376,0.0001100396,0.0000010181,0.0010090213,0.0000000000
0.0096647125,98.9166666667,0.0010000000,0.9999816451,0.0001066877,0.0000010067,0.0010033648,0.0000000000
0.0145267596,98.4166666667,0.0010000000,0.9999724112,0.0003011037,0.0000015132,0.0012301236,0.0000000000
0.0095830754,98.9166666667,0.0010000000,0.9999818001,0.0001160050,0.0000009982,0.0009991181,0.0000000000
0.0094264378,98.9166666667,0.0010000000,0.9999820976,0.0001004795,0.0000009819,0.0009909191,0.0000000000
0.1506833483,97.7500000000,0.0010000000,0.9997138271,0.0012143829,0.0000156962,0.0039618407,0.0000000000
0.0092898514,98.9166666667,0.0010000000,0.9999823570,0.0000981655,0.0000009677,0.0009837138,0.0000000000
